filename,id,input_text,subject,target,subject1,subject2,subject3,target1,target2,target3,situation,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
affection_8164.png,affection_4179,"this time, our president is not your muslim brother",poster,muslim,politician,supporter,journalist,immigrant,refugee,minority,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Online & Social Media,General Culture,Angry,NULL,NULL,"[Anchor]
- Text evidence: ""this time, our president is not your muslim brother"" (literal tone: negative/exclusionary).
- Visual evidence: several political leaders seated in a formal, somber ceremony; front-row bench with suits and dresses; neutral to serious facial expressions.
- Cross-modal setup: the caption makes an exclusionary claim while the photo shows a lineup of national leaders at a public ceremony.

[Pivot]
- Mechanism: socio_cultural_dependency.
- Trigger rule: decoding the caption as xenophobic/hostile depends on knowledge of US political memes and anti-Muslim tropes; image+caption together signal that cultural frame.
- Minimal justification: without that frame the line is ambiguous, with it the message reads as hostile exclusion.

[Inference]
- Emotion label: Angry.
- Subject/target justification: the poster communicates hostile, exclusionary feeling directed at Muslims as a group.
- Domain/Culture usage: Domain/Culture supplies the US political meme context that disambiguates the caption as xenophobic rather than neutral.",False,False
attitude_8173.png,attitude_6314,"are my sins forgiven now, father?",child,father,penitent,parishioner,worshiper,uncle,grandfather,godparent,Attitude,NULL,NULL,submissive_alignment,submissive_alignment,Family Conversations,General Culture,NULL,NULL,Contemptuous,"[Anchor]
- Text evidence: ""are my sins forgiven now, father?"" (neutral petitioning). 
- Visual evidence: close-up of a child's lower face; brown sauce smeared around mouth and chin; tongue visible licking the lips. 
- Cross-modal setup: The caption requests absolution while the photo shows a messy, childlike 'offense,' pairing a plea with a trivial, juvenile transgression.

[Pivot]
- Mechanism: submissive_alignment.
- Trigger rule: Addressing ""father"" as authority frames deference and a request for pardon (power-positioning), and the image reduces the speaker to a childish, apologetic state, enacting Self-Diminishment; together these verbal and visual cues show the speaker lowering themselves to gain acceptance.

[Inference]
- Attitude label: Supportive.
- Subject/target justification: The speaker (the messy child) adopts an appeasing, deferential stance toward the father by asking forgiveness. 
- Domain/Culture provides no additional disambiguation.",False,False
intent_4735.png,intent_7962,i can still smell the ford you drive,meme poster,ford,internet troll,anonymous commenter,ex partner,cologne,cigarette,owner,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Intimidation,NULL,"[Anchor]
- Text evidence: The caption directly states a lingering negative sensory impression about the target's car (""i can still smell the ford you drive"").
- Visual evidence: The image shows a man holding his nose with a smug/disgusted gesture, a classic visual cue of derision. 

[Pivot]
- Cross-modal: Combining a derisive smell claim with the contemptuous pose converts a literal comment into a social jab aimed to demean the owner. In an online meme format this functions as an indirect attack rather than mere observation.

[Inference]
- Intent: The poster aims to ridicule and demean the Ford driver, i.e., to insult them publicly.",False,False
intent_4996.png,intent_7962,i can still smell the ford you drive,meme poster,ford,internet troll,anonymous commenter,ex partner,cologne,cigarette,owner,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Intimidation,NULL,"[Anchor]
- Text evidence: The caption directly states a lingering negative sensory impression about the target's car (""i can still smell the ford you drive"").
- Visual evidence: The image shows a man holding his nose with a smug/disgusted gesture, a classic visual cue of derision. 

[Pivot]
- Cross-modal: Combining a derisive smell claim with the contemptuous pose converts a literal comment into a social jab aimed to demean the owner. In an online meme format this functions as an indirect attack rather than mere observation.

[Inference]
- Intent: The poster aims to ridicule and demean the Ford driver, i.e., to insult them publicly.",False,False
intent_5938.png,intent_7962,i can still smell the ford you drive,masked individual,the public,internet troll,anonymous commenter,ex partner,cologne,cigarette,owner,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Public & Service,General Culture,NULL,Humiliation for Amusement,NULL,"[Anchor]
- Text evidence: The caption directly states a lingering negative sensory impression about the target's car (""i can still smell the ford you drive"").
- Visual evidence: The image shows a man holding his nose with a smug/disgusted gesture, a classic visual cue of derision. 

[Pivot]
- Cross-modal: Combining a derisive smell claim with the contemptuous pose converts a literal comment into a social jab aimed to demean the owner. In an online meme format this functions as an indirect attack rather than mere observation.

[Inference]
- Intent: The poster aims to ridicule and demean the Ford driver, i.e., to insult them publicly.",False,False
505.mp4,intent_0683,"oh, that's so sweet.",Carol (the speaker),Sandra (coworker),Dina (assistant manager),Garrett (team member),Team member (back view),Dina (assistant manager),Garrett (team member),Customer (shopper),Intent,NULL,prosocial_deception,NULL,prosocial_deception,Workplace,General Culture,NULL,Conflict Mitigation,NULL,"[Anchor]
- Text evidence: ""oh, that's so sweet."" (positive tone). 
- Visual evidence: Sandra stands center with a flat/uncomfortable expression; Carol (right) smiles with closed eyes; other coworkers glance sideways. 
- Cross-modal setup: The spoken line is warmly delivered while colleagues' faces register discomfort rather than shared delight.

[Pivot]
- Mechanism: prosocial_deception.
- Trigger rule: warm verbal praise paired with coworkers' uneasy expressions indicates the speaker is smoothing the situation—surface kindness masks a face-saving move. 
- Minimal justification: The mismatch (pleasant words vs. colleagues' discomfort) points to protecting feelings rather than literal praise.

[Inference]
- Emotion label: Happy.
- Subject/target justification: The speaker expresses positive affect aimed at shielding a colleague (Sandra) from embarrassment. 
- Domain/Culture usage: In workplace settings polite praise is commonly used to preserve coworkers' feelings and avoid conflict.",False,False
intent_4114.png,intent_0683,"oh, that's so sweet.",Carol (the speaker),Sandra (coworker),Dina (assistant manager),Garrett (team member),Team member (back view),Dina (assistant manager),Garrett (team member),Customer (shopper),Intent,NULL,prosocial_deception,NULL,prosocial_deception,Workplace,General Culture,NULL,Conflict Mitigation,NULL,"[Anchor]
- Text evidence: ""oh, that's so sweet."" (positive tone). 
- Visual evidence: Sandra stands center with a flat/uncomfortable expression; Carol (right) smiles with closed eyes; other coworkers glance sideways. 
- Cross-modal setup: The spoken line is warmly delivered while colleagues' faces register discomfort rather than shared delight.

[Pivot]
- Mechanism: prosocial_deception.
- Trigger rule: warm verbal praise paired with coworkers' uneasy expressions indicates the speaker is smoothing the situation—surface kindness masks a face-saving move. 
- Minimal justification: The mismatch (pleasant words vs. colleagues' discomfort) points to protecting feelings rather than literal praise.

[Inference]
- Emotion label: Happy.
- Subject/target justification: The speaker expresses positive affect aimed at shielding a colleague (Sandra) from embarrassment. 
- Domain/Culture usage: In workplace settings polite praise is commonly used to preserve coworkers' feelings and avoid conflict.",False,False
intent_5136.png,intent_0683,"oh, that's so sweet.",meme poster,birthday recipient,Dina (assistant manager),Garrett (team member),Team member (back view),Dina (assistant manager),Garrett (team member),Customer (shopper),Intent,NULL,prosocial_deception,NULL,prosocial_deception,Online & Social Media,General Culture,NULL,Humiliation for Amusement,NULL,"[Anchor]
- Text evidence: ""oh, that's so sweet."" (positive tone). 
- Visual evidence: Sandra stands center with a flat/uncomfortable expression; Carol (right) smiles with closed eyes; other coworkers glance sideways. 
- Cross-modal setup: The spoken line is warmly delivered while colleagues' faces register discomfort rather than shared delight.

[Pivot]
- Mechanism: prosocial_deception.
- Trigger rule: warm verbal praise paired with coworkers' uneasy expressions indicates the speaker is smoothing the situation—surface kindness masks a face-saving move. 
- Minimal justification: The mismatch (pleasant words vs. colleagues' discomfort) points to protecting feelings rather than literal praise.

[Inference]
- Emotion label: Happy.
- Subject/target justification: The speaker expresses positive affect aimed at shielding a colleague (Sandra) from embarrassment. 
- Domain/Culture usage: In workplace settings polite praise is commonly used to preserve coworkers' feelings and avoid conflict.",False,False
attitude_5428.png,attitude_2928,when japan thinks you're gonna invade their mainland,meme poster,Japan,social troll,video streamer,parody news outlet,China,Korea,USA,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,East Asian Culture,NULL,NULL,Contemptuous,"[Anchor]
- Text evidence: quote ""you're gonna invade their mainland"" (negative).
- Visual evidence: stylized mushroom-cloud explosion centered; red-and-black radial burst; comic-style graphic; no people present.
- Cross-modal setup: The caption frames a hypothetical fear while the image dramatizes violent destruction.

[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: The poster pairs derisive hypothetical wording with an image of a nuclear explosion, treating Japan's fear as laughable and unworthy of consideration (Invalidation). Minimal justification: The mocking caption plus an annihilative visual produces a high-ground dismissal and contempt.

[Inference]
- Attitude label: Hostile.
- Subject/target justification: The meme poster expresses hostility toward Japan by mocking and visualizing its destruction.
- Domain/Culture usage: Online & Social Media in an East Asian context invokes WWII nuclear imagery, intensifying the provocative hostile reading.",False,False
502.mp4,attitude_1106,and every zone captain should have a walkie-talkie.,meme poster,Japan,social troll,video streamer,parody news outlet,China,Korea,USA,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,East Asian Culture,NULL,NULL,Contemptuous,"[Anchor]
- Text evidence: quote ""you're gonna invade their mainland"" (negative).
- Visual evidence: stylized mushroom-cloud explosion centered; red-and-black radial burst; comic-style graphic; no people present.
- Cross-modal setup: The caption frames a hypothetical fear while the image dramatizes violent destruction.

[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: The poster pairs derisive hypothetical wording with an image of a nuclear explosion, treating Japan's fear as laughable and unworthy of consideration (Invalidation). Minimal justification: The mocking caption plus an annihilative visual produces a high-ground dismissal and contempt.

[Inference]
- Attitude label: Hostile.
- Subject/target justification: The meme poster expresses hostility toward Japan by mocking and visualizing its destruction.
- Domain/Culture usage: Online & Social Media in an East Asian context invokes WWII nuclear imagery, intensifying the provocative hostile reading.",False,False
2_527.mp4,attitude_1876,We thought you were just here for the company. He is a sarcasmoholic Stewart.,the speaker,Stewart (the person being addressed),a coworker,the manager,the receptionist,the guest,the new hire,the client,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Workplace,General Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: ""He is a sarcasmoholic Stewart."" (negative tone). 
- Visual evidence: speaker with head tilt, a smirking/open-mouthed expression, raised eyebrows, leaning back in chair. 
- Cross-modal setup: the sarcastic insult in text is mirrored by mocking nonverbal cues in the images.

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: the utterance assigns a character defect and dismisses sincerity while the speaker's facial posture signals emotional distance and superiority; this enacts Character Blaming. Minimal justification: labeling someone a ""sarcasmoholic"" plus derisive posture positions the speaker above the target.

[Inference]
- Attitude label: Contemptuous. 
- Subject/target justification: the speaker expresses contempt toward Stewart by mocking his character and implying insincerity. 
- Domain/Culture usage: in a workplace context this reads as a dismissive professional judgment rather than benign teasing.",False,False
1_11253.mp4,attitude_1609,"So as they say, all good things must come to an end.",speaker,their relationship,co-star,guest,producer,the show,their careers,Replace the meta/instructional entry with a concrete unrelated distractor such as 'the announcement' (or 'audience reaction').,Attitude,NULL,NULL,protective_distancing,protective_distancing,Intimate Relationships,General Culture,NULL,NULL,Neutral,"[Anchor]
- Text evidence: ""all good things must come to an end"" (negative/reflective). 
- Visual evidence: two people seated together on a couch; neutral/somber facial expressions; visible studio set and a ""REC"" overlay indicating a recorded, staged moment. 
- Cross-modal setup: the resigned line and somber audio align with subdued, still visuals at surface level.

[Pivot]
- Mechanism: protective_distancing. 
- Trigger rule: the resigned wording plus subdued vocal tone and restrained body language signal emotional withdrawal and guarded acceptance; sub-logic: Emotional Withdrawal. Minimal justification: the speaker avoids confrontation and signals retreat rather than engagement.

[Inference]
- Attitude label: Concerned. 
- Subject/target justification: the speaker expresses resigned concern about the status of their relationship. 
- Domain/Culture provides disambiguation: in intimate-relationship context the line reads as acceptance of a relationship ending rather than a general proverb.",False,False
intent_10960.png,intent_7259,dolled up and rolling with the gang like,meme poster,online audience,forum moderator,political operative,marketing agency,platform moderators,political base,news consumers,Intent,NULL,malicious_manipulation,NULL,malicious_manipulation,Online & Social Media,General Culture,NULL,Humiliation for Amusement,NULL,"[Anchor]
- Text evidence: The caption uses upbeat, celebratory slang (""dolled up and rolling with the gang like"") implying pride in company.
- Visual evidence: The image is a historical photograph of Adolf Hitler and Benito Mussolini smiling together, iconic fascist leaders.
- Cross-modal mismatch: The lighthearted tone conflicts with the harmful historical actors shown.

[Pivot]
- Mechanism: malicious_manipulation — the post reframes violent autocrats as trendy or aspirational companions.
- Trigger rule: Juxtaposing casual boasting with dictator imagery packages extremist figures as humorous or stylish, lowering critical resistance.

[Inference]
- Intent: The poster seeks to glamorize and normalize fascist leaders for an online audience, desensitizing or making them appear appealing.",False,False
attitude_6456.png,intent_7259,dolled up and rolling with the gang like,meme poster,online audience,forum moderator,political operative,marketing agency,platform moderators,political base,news consumers,Intent,NULL,malicious_manipulation,NULL,malicious_manipulation,Online & Social Media,General Culture,NULL,Humiliation for Amusement,NULL,"[Anchor]
- Text evidence: The caption uses upbeat, celebratory slang (""dolled up and rolling with the gang like"") implying pride in company.
- Visual evidence: The image is a historical photograph of Adolf Hitler and Benito Mussolini smiling together, iconic fascist leaders.
- Cross-modal mismatch: The lighthearted tone conflicts with the harmful historical actors shown.

[Pivot]
- Mechanism: malicious_manipulation — the post reframes violent autocrats as trendy or aspirational companions.
- Trigger rule: Juxtaposing casual boasting with dictator imagery packages extremist figures as humorous or stylish, lowering critical resistance.

[Inference]
- Intent: The poster seeks to glamorize and normalize fascist leaders for an online audience, desensitizing or making them appear appealing.",False,False
intent_11463.png,intent_2877,"if they aren't lazy, then why doesn't kfc have a breakfast menu",social media poster,kfc / the company,customer service agent,forum moderator,local news reporter,the mascot,the delivery driver,the menu board,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Hate Humor,NULL,"[Anchor]
- Text evidence: The caption is a sarcastic rhetorical question that presumes laziness (""if they aren't lazy, then why doesn't kfc have a breakfast menu"").
- Visual evidence: A close-up of KFC branding and fried chicken makes the corporation the clear focus.
- Cross-modal setup: The sarcastic text paired with the brand image turns a service gripe into a public jab.

[Pivot]
- Mechanism: expressive_aggression (veiled insult).
- Trigger rule: Rhetorical disbelief is used to indirectly attack the target rather than offer constructive feedback.

[Inference]
- Intent label: mock kfc.
- Justification: The poster aims to ridicule and shame the company publicly rather than neutrally inquire.",False,False
intent_11379.png,intent_0479,when you fart in crowd and  try to look normal,person who farted,the crowd,embarrassed teenage student,awkward office worker,sneaky younger sibling,the classmates,the coworkers,the parents,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Meme-based Mockery,NULL,"[Anchor]
- The caption names an embarrassing event (farting) and an explicit effort to ""try to look normal."" The image shows a cartoon mouse with wide, guilty eyes and a stiff, forced posture that signals awkward concealment. Cross-modal evidence: text admits the mishap while the visual emphasizes a composed but uneasy façade.
[Pivot]
- This mismatch indicates a deliberate concealment of an embarrassing truth to avoid social penalty and maintain interpersonal harmony.
[Inference]
- The implicit intent is to save face by hiding the incident from the surrounding crowd.",False,False
attitude_5967.png,attitude_3704,is this mother fucker serious? where in the hell am i going to find a truck load of bitches?,meme speaker,women,social troll,satire account,internet user,strippers,hookers,men,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,General Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: ""a truck load of bitches"" (negative tone).
- Visual evidence: Santa Claus in red suit reading a letter; lit fireplace and blurred Christmas tree lights; a lantern on the table in a cozy interior.
- Cross-modal setup: A vulgar, hostile caption is overlaid on a wholesome Santa image, creating ironic contrast.

[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: The speaker's explicit profanity and demeaning noun treats women as commodities, asserting moral/language superiority (Character Blaming); the incongruous Santa gift-frame amplifies the dismissal. Minimal justification: profanity plus objectifying phrasing creates a stance of contempt and exclusion.

[Inference]
- Attitude label: Contemptuous.
- Subject/target justification: The meme speaker expresses contempt toward women by objectifying them as a ""truck load."" 
- Domain/Culture provides no additional disambiguation.",False,False
affection_11179.png,attitude_3704,is this mother fucker serious? where in the hell am i going to find a truck load of bitches?,meme speaker,women,social troll,satire account,internet user,strippers,hookers,men,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,General Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: ""a truck load of bitches"" (negative tone).
- Visual evidence: Santa Claus in red suit reading a letter; lit fireplace and blurred Christmas tree lights; a lantern on the table in a cozy interior.
- Cross-modal setup: A vulgar, hostile caption is overlaid on a wholesome Santa image, creating ironic contrast.

[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: The speaker's explicit profanity and demeaning noun treats women as commodities, asserting moral/language superiority (Character Blaming); the incongruous Santa gift-frame amplifies the dismissal. Minimal justification: profanity plus objectifying phrasing creates a stance of contempt and exclusion.

[Inference]
- Attitude label: Contemptuous.
- Subject/target justification: The meme speaker expresses contempt toward women by objectifying them as a ""truck load."" 
- Domain/Culture provides no additional disambiguation.",False,True
attitude_4766.png,attitude_3704,is this mother fucker serious? where in the hell am i going to find a truck load of bitches?,meme speaker,women,social troll,satire account,internet user,strippers,hookers,men,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,General Culture,Disgusted,NULL,NULL,"[Anchor]
- Text evidence: ""a truck load of bitches"" (negative tone).
- Visual evidence: Santa Claus in red suit reading a letter; lit fireplace and blurred Christmas tree lights; a lantern on the table in a cozy interior.
- Cross-modal setup: A vulgar, hostile caption is overlaid on a wholesome Santa image, creating ironic contrast.

[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: The speaker's explicit profanity and demeaning noun treats women as commodities, asserting moral/language superiority (Character Blaming); the incongruous Santa gift-frame amplifies the dismissal. Minimal justification: profanity plus objectifying phrasing creates a stance of contempt and exclusion.

[Inference]
- Attitude label: Contemptuous.
- Subject/target justification: The meme speaker expresses contempt toward women by objectifying them as a ""truck load."" 
- Domain/Culture provides no additional disambiguation.",False,False
