filename,id,input_text,subject,target,subject1,subject2,subject3,target1,target2,target3,situation,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
attitude_8842.png,attitude_0211,whatsthe difference between heroin and i? cops think twice before shooting heroin,the man,the police,social media platform moderator,the viewer,the photographer,the camera,heroin,the audience,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Public & Service,General Culture,NULL,NULL,Disapproving,"[Anchor]
- Text evidence: ""cops think twice before shooting heroin"" (negative tone). 
- Visual evidence: a man facing the camera holding up both middle fingers; casual shirt; plain light background. 
- Cross-modal setup: a confrontational obscene gesture is paired with a sarcastic line about police violence, creating a hostile message.

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: The text accuses law enforcement of moral failure and devaluation (power-positioning via moral judgment), while the image's obscene gesture intensifies dismissal; this fits Character Blaming.

[Inference]
- Attitude label: Contemptuous. 
- Subject/target justification: The speaker (meme author) directs contempt toward police/cops. 
- Domain/Culture provides no additional disambiguation.",FALSE,FALSE
intent_10452.png,intent_8253,the porn again christian,the poster,man accused watching adult,male celebrity center,woman on right,spam bot,the red carpet event,two women photo,the event photographers,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Meme-based Mockery,NULL,"[Anchor]
- Text: the terse caption ""the porn again christian"" accuses a named person of repeatedly viewing pornography. Visual: the photo shows a man flanked by Playboy-style models, creating a sexualized, gossip-ready tableau. Cross-modal: the caption paired with a sexualized image links the named individual to pornographic behavior and public spectacle.

[Pivot]
- Mechanism: expressive_aggression. The meme packages an attack as jokey commentary, using humor and imagery to ridicule rather than privately confront.

[Inference]
- The poster's goal is to mock and publicly shame the named individual by circulating sexualized gossip.",FALSE,FALSE
attitude_5272.png,attitude_2546,when someone calls you by your gaming name in public,the poster,called by gamer name,male actor press conference,the journalist asking questions,gamer being called,the gaming nickname itself,the press conference media,actors public image,Attitude,NULL,NULL,protective_distancing,protective_distancing,Public & Service,General Culture,NULL,NULL,Neutral,"[Anchor]
- Text evidence: ""when someone calls you by your gaming name in public"" (neutral tone).
- Visual evidence: seated man at a table with a microphone and backdrop, restrained closed-mouth smile, hand resting on cheek; casual patterned sweater and glasses.
- Cross-modal setup: the caption names an awkward public moment while the photo shows a polite, slightly withdrawn smile.

[Pivot]
- Mechanism: protective_distancing.
- Trigger rule: the wording frames unwanted exposure and the image shows a reserved, non-engaging posture, producing emotional withdrawal rather than confrontation (Emotional Withdrawal). This combination signals polite detachment.

[Inference]
- Attitude label: Indifferent.
- Subject/target justification: the meme-author (subject) adopts a mildly withdrawn, noncommittal stance toward being addressed by a stranger's use of their gaming name (target).
- Domain/Culture provides no additional disambiguation.",FALSE,FALSE
attitude_6791.png,attitude_5395,dating in 2018 i just want a girl who laugh at my racist jokes and cuddle me is it to much to ask!,the poster,racist dating expectations mocked,historical political figure,man expressing dating demand,the potential girlfriend mentioned,dating culture in 2018,historical figure image,mans desire for intimacy,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Intimate Relationships,General Culture,NULL,NULL,Indifferent,"[Anchor]
- Text evidence: ""a girl who laugh at my racist jokes"" (negative tone). 
- Visual evidence: black-and-white photo of a man in a dark suit gesturing with hands; archival/formal setting; overlaid meme caption text. 
- Cross-modal setup: The casual wishlist text sits atop an archival authoritarian image, making the verbal demand for affirmation visually resonant rather than contradictory.

[Pivot]
- Mechanism: dominant_affiliation. 
- Trigger rule: The wording explicitly asks for affiliative validation of bigotry (seeking a partner to laugh), asserting the speaker's superiority; the image amplifies that power-positioning. Sub-logic: Talking Down. Minimal justification: Asking a partner to endorse racist jokes uses affection-seeking to secure dominance.

[Inference]
- Attitude label: Contemptuous. 
- Subject/target justification: The poster expresses contempt toward racialized others and objectifies a woman as an enabler of that contempt. 
- Domain/Culture provides no additional disambiguation.",FALSE,FALSE
attitude_9076.png,attitude_5192,when mom asks where all the jews went,the poster,Jews,the shrugging man,mother asking question,the referenced jewish group,confused shrugging man,the Jewish people themselves,the family conversation setting,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Family Conversations,General Culture,NULL,NULL,Indifferent,"[Anchor]
- Text evidence: ""when mom asks where all the jews went"" (neutral literal tone). 
- Visual evidence: man with beard and glasses; both palms up in a shrug; neutral/slightly smirking expression; plain blue background. 
- Cross-modal setup: the caption raises a question about a group while the photo supplies a nonchalant shrug as the answer.

[Pivot]
- Mechanism: dominant_detachment. Trigger rule: the wording frames a serious referent casually and the image's emotional cutoff (shrug) treats the concern as illegitimate; this matches the sub-logic of Invalidation. The combined caption-plus-shrug asserts a superior, dismissive stance toward the target.

[Inference]
- Attitude label: Contemptuous. Subject/target justification: the meme poster conveys contempt toward Jews by reducing their fate to a shrug. Domain/Culture provides no additional disambiguation.",FALSE,FALSE
180.mp4,attitude_0838,"but instead, he mocks me behind my back.",female employee resentment,male coworker mocking her,male coworker blue vest,female customer shopping nearby,the store management,the store work environment,the customers’ shopping behavior,her own job performance,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Workplace,General Culture,NULL,NULL,Disapproving,"[Anchor]
- Text evidence: ""he mocks me behind my back."" (negative tone).
- Visual evidence: woman wearing a ""BEA"" name tag gesturing with hands; man in a blue store vest standing with hands in pockets and a neutral expression; retail store shelves visible.
- Cross-modal setup: the utterance accuses a coworker of covert mockery while the images show a face-to-face exchange where one person gestures and the other is emotionally unresponsive.

[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: the speaker's grievance frames the other as invalidating her (wording asserts secretive derision) while the addressee's nonreactive posture in the images supports a high-ground emotional cutoff; sub-logic: Invalidation. Minimal justification: the linguistic accusation plus visual emotional distance jointly signal that the target is dismissing/invalidating the speaker.

[Inference]
- Attitude label: Disapproving.
- Subject/target justification: Bea (speaker) expresses disapproval toward an unnamed male coworker for mocking her. 
- Domain/Culture usage: Workplace context frames this as a professional interpersonal complaint and reinforces the interpretation of dismissal rather than playful teasing.",FALSE,FALSE
intent_5317.png,intent_7979,you're not really drunk until you are speaking fluent ozzy osbourne,meme poster,not drunk until fluent,rock singer shown,person judged drunk,the friends watching,rock singer speech style,party drinking behavior,drunk person condition,Intent,NULL,benevolent_provocation,NULL,benevolent_provocation,Online & Social Media,General Culture,NULL,Meme-based Mockery,NULL,"[Anchor]
- The caption hyperbolically declares that true drunkenness equals speaking like a famous rocker, framing extreme intoxication as a comedic milestone. The photo shows a long-haired rockstar in an animated, open-armed pose and expressive face. The text and image together link celebrity performance to a drunken achievement, glamorizing that state.

[Pivot]
- Mechanism: benevolent_provocation. The meme playfully dares viewers by presenting a celebrity-like behavior as an aspirational benchmark, covertly provoking action.

[Inference]
- The poster intends to encourage heavy drinking among partygoers by glamorizing and challenging them to attain that celebrity-like drunken performance.",FALSE,FALSE
493.mp4,affection_1155,it's too late. you missed everything.,female store manager speaking,late male customer,the man ahead,the other store employees,the supermarket brand,store operating hours,ended promotion event,the in-store inventory,Affection,socio_cultural_dependency,NULL,NULL,socio_cultural_dependency,Public & Service,General Culture,Angry,NULL,NULL,"[Anchor]
- Text evidence: ""it's too late. you missed everything."" (literal tone: negative). 
- Visual evidence: arms akimbo / hands on hips; stern, tight-lipped facial expression; store uniform with visible name tag ""DINA"" facing a male customer. 
- Cross-modal setup: At surface the utterance and voice are a factual, detached statement while the visual posture reads confrontational.

[Pivot]
- Mechanism: affective_deception.
- Trigger rule: The spoken text and measured, unemotional voice present cold neutrality while body language and facial cues leak irritation. 
- Minimal justification: The affect is not named but nonverbal leakage reveals it.

[Inference]
- Emotion label: Angry.
- Subject/target justification: Dina (speaker) is implicitly irritated toward the customer for having ""missed everything."" 
- Domain/Culture provides no additional disambiguation.",FALSE,FALSE
intent_10691.png,intent_1177,which one has tranny problems?,the poster,derogatory question on gender,blonde woman on left,older woman on right,the red carpet host,public image of women,red carpet event,celebrity appearance commentary,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Public Humiliation,NULL,"[Anchor]
- Text evidence: The caption uses a derogatory slur and asks ""which one has..."", framing identity as a problem. Visual evidence: The image shows two women standing together, creating a clear opportunity to point at one as the target. 
[Pivot]
- The cross-modal pairing turns a seemingly simple question into a public provocation: the slur plus the photo invites ridicule and identification of a vulnerable target without direct argument.
[Inference]
- Mechanism: expressive_aggression. The speaker's hidden goal is to demean and provoke public humiliation of a transgender person.",FALSE,FALSE
intent_4396.png,intent_6678,remember 9/11,the poster,solemn memorial in entertainment,male actor speaking,the award show host,ceremony audience present,the award ceremony itself,actor acceptance speech,public memory event,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Humiliation for Amusement,NULL,"[Anchor]
- Text evidence: the terse imperative ""remember 9/11"" invokes solemn commemoration. Visual evidence: the image shows Leonardo DiCaprio smirking on a glamorous stage, a celebratory expression that clashes with mourning. Cross-modal mismatch: the serious prompt plus a mocking facial expression creates ironic incongruity and insincerity.
[Pivot]
- Mechanism: expressive_aggression. When memorial language is paired with a joking or smirking image, the communicative goal shifts from tribute to provocation.
[Inference]
- Hidden intent: to mock the tragedy and provoke outrage among those who treat 9/11 seriously.",FALSE,FALSE
